"","Project","Sample_ID","SO4_Conc_mM","SO4_Conc_flag","SO4_QAQC_flag","Cl_Conc_mM","Cl_Conc_flag","Cl_QAQC_flag","salinity","Analysis_rundate","Run_notes"
"63","GX2","               219_GX2_50192",24.5267997504679,"Within_Range","SO4 checks perc diff out of range",149.910047954866,"Within_Range","",9.6029863384,"2025-09-18","Chk std 1 SO4 is slightly lower than the expected concentration. 
  One dup (185_GX2_50143) had high CV. 
  166_GX2_50116 was above the SO4 detection limit (24.5 ppm vs the 20 ppm detection limit)
  "
"64","GX2","               220_GX2_50108",31.0922738615097,"Within_Range","SO4 checks perc diff out of range",189.283531734838,"Within_Range","",12.1251788684,"2025-09-18","Chk std 1 SO4 is slightly lower than the expected concentration. 
  One dup (185_GX2_50143) had high CV. 
  166_GX2_50116 was above the SO4 detection limit (24.5 ppm vs the 20 ppm detection limit)
  "
"65","GX2","               221_GX2_50195",37.315807860262,"Within_Range","SO4 checks perc diff out of range",245.575009873061,"Within_Range","",15.7311068187,"2025-09-18","Chk std 1 SO4 is slightly lower than the expected concentration. 
  One dup (185_GX2_50143) had high CV. 
  166_GX2_50116 was above the SO4 detection limit (24.5 ppm vs the 20 ppm detection limit)
  "
"66","GX2","               222_GX2_50070",37.1607610729881,"Within_Range","SO4 checks perc diff out of range",191.09597461213,"Within_Range","",12.2412806061,"2025-09-18","Chk std 1 SO4 is slightly lower than the expected concentration. 
  One dup (185_GX2_50143) had high CV. 
  166_GX2_50116 was above the SO4 detection limit (24.5 ppm vs the 20 ppm detection limit)
  "
"67","GX2","               223_GX2_50127",30.0531316281971,"Within_Range","SO4 checks perc diff out of range",207.280894217207,"Within_Range","",13.2780566139,"2025-09-18","Chk std 1 SO4 is slightly lower than the expected concentration. 
  One dup (185_GX2_50143) had high CV. 
  166_GX2_50116 was above the SO4 detection limit (24.5 ppm vs the 20 ppm detection limit)
  "
"68","GX2","               224_GX2_50169",30.3441859014348,"Within_Range","SO4 checks perc diff out of range",230.058764456982,"Within_Range","",14.7371648424,"2025-09-18","Chk std 1 SO4 is slightly lower than the expected concentration. 
  One dup (185_GX2_50143) had high CV. 
  166_GX2_50116 was above the SO4 detection limit (24.5 ppm vs the 20 ppm detection limit)
  "
"69","GX2","               225_GX2_50275",32.9687835308796,"Within_Range","SO4 checks perc diff out of range",265.887108603667,"Within_Range","",17.032262286,"2025-09-18","Chk std 1 SO4 is slightly lower than the expected concentration. 
  One dup (185_GX2_50143) had high CV. 
  166_GX2_50116 was above the SO4 detection limit (24.5 ppm vs the 20 ppm detection limit)
  "
"70","GX2","               226_GX2_50229",21.6344822208359,"Within_Range","SO4 checks perc diff out of range",249.721616361072,"Within_Range","",15.9967307591,"2025-09-18","Chk std 1 SO4 is slightly lower than the expected concentration. 
  One dup (185_GX2_50143) had high CV. 
  166_GX2_50116 was above the SO4 detection limit (24.5 ppm vs the 20 ppm detection limit)
  "
"71","GX2","               227_GX2_50124",28.1195726762321,"Within_Range","SO4 checks perc diff out of range",213.132583921016,"Within_Range","",13.6529050307,"2025-09-18","Chk std 1 SO4 is slightly lower than the expected concentration. 
  One dup (185_GX2_50143) had high CV. 
  166_GX2_50116 was above the SO4 detection limit (24.5 ppm vs the 20 ppm detection limit)
  "
"72","GX2","               228_GX2_50081",35.0126013724267,"Within_Range","SO4 checks perc diff out of range",213.740558533145,"Within_Range","",13.6918507596,"2025-09-18","Chk std 1 SO4 is slightly lower than the expected concentration. 
  One dup (185_GX2_50143) had high CV. 
  166_GX2_50116 was above the SO4 detection limit (24.5 ppm vs the 20 ppm detection limit)
  "
"73","GX2","               229_GX2_50068",28.7365689332502,"Within_Range","SO4 checks perc diff out of range",156.572502115656,"Within_Range","",10.0297708264,"2025-09-18","Chk std 1 SO4 is slightly lower than the expected concentration. 
  One dup (185_GX2_50143) had high CV. 
  166_GX2_50116 was above the SO4 detection limit (24.5 ppm vs the 20 ppm detection limit)
  "
"74","GX2","               230_GX2_50242",19.1450717404866,"Within_Range","SO4 checks perc diff out of range",151.541376586742,"Within_Range","",9.7074862326,"2025-09-18","Chk std 1 SO4 is slightly lower than the expected concentration. 
  One dup (185_GX2_50143) had high CV. 
  166_GX2_50116 was above the SO4 detection limit (24.5 ppm vs the 20 ppm detection limit)
  "
"75","GX2","               231_GX2_50297",35.6310573923893,"Within_Range","SO4 checks perc diff out of range",209.536713681241,"Within_Range","",13.4225602355,"2025-09-18","Chk std 1 SO4 is slightly lower than the expected concentration. 
  One dup (185_GX2_50143) had high CV. 
  166_GX2_50116 was above the SO4 detection limit (24.5 ppm vs the 20 ppm detection limit)
  "
